#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
http://t.co/TBWaqpkR8M New Under Armour UA Stephen Curry One Father To Son Size 10.5 Basketball,0.136363636,0.454545455
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
No sportswriter alive ends stories as delightfully as http://t.co/bdTmHycXng,0.55,0.7
http://t.co/3P63ibVIlN New Under Armour UA Stephen Curry One Father To Son Size 10.5 Basketball,0.136363636,0.454545455
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
I added a video to a playlist http://t.co/4k8LyFurXM THE RETURN OF STEPHEN CURRY!!,0,0
"Sports names and faces: Stephen Curry, Schuyler Bailar: The league MVP and his team have secured the top spots on  http://t.co/uOJ12oAGnK",0.5,0.5
http://t.co/qUQQp4RsNG #shoes New Under Armour UA Stephen Curry One Father To Son Size 10.5 Basketball,0.136363636,0.454545455
"its stephen curry. &amp; yes, he is fiiiine",0,0
Stephen Curry is the 1st player in history to beat every other member of the All-NBA First Team on his way to a title h ,0.0625,0.354166667
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
VIDEO: Stephen Curry gets up to throw down a 180 dunk at his SC30 Select Camp #AirSteph http://t.co/GKINEtfTze http://t ,-0.155555556,0.288888889
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
Stephen Curry passes LeBron James for the most popular jersey in the NBA. #MVP http://t.co/hW9Gcq99jV,0.55,0.7
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
STEPHEN CURRY DANCING IS THE BEST THING EVER (Vine by celeb edits af),1,0.3
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
#nouvelles NBA - Stephen Curry domine aussi LeBron James en boutique http://t.co/Nf9oyo2m2s +http://t.co/rYASaoJKbn,0,0
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
E:60 - Longshot: The Journey of Stephen Curry http://t.co/n3BWltsx3g,0,0
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo  ,0.55,0.7
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
Stephen Curry and Warriors Take Over Merchandise Sales (via http://t.co/nwcqovtxNc,0,0
#Warriors star Stephen Curry has surpassed LeBron James for the most popular #NBA jersey sold. http://t.co/9DXE7fXeIo #DubNation,0.55,0.7
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
VIDEO: Stephen Curry gets up to throw down a 180 dunk at his SC30 Select Camp #AirSteph http://t.co/GKINEtfTze http://t ,-0.155555556,0.288888889
VIDEO: Stephen Curry gets up to throw down a 180 dunk at his SC30 Select Camp #AirSteph http://t.co/GKINEtfTze http://t ,-0.155555556,0.288888889
"""Is Steph Prepping for Dunk Contest?"" via bang bang http://t.co/1aL3nAgYSJ",0,0
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
Stephen curry  #perfecto http://t.co/4OjiYzOGTb,0,0
Stephen curry,0,0
Stephen Curry 2015 MVP - Bounce: http://t.co/9HsFVFAigs via,0,0
I SAW STEPHEN CURRY TODAY!!!!!,0,0
Stephen Curry beats LeBron James again ... this time as the top-selling NBA jersey: http://t.co/rFKEbOzkwS http://t.co/NkXyxHC9 ,0,0
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
Stephen Curry Documentary - Path To Become Legendary    [Part 1]p http://t.co/frOHYle98s,0.5,0.5
"Sale on the following players: Stephen curry, Michael Jordan, iggy, and Kevin durant. I have a lot more players just message me!",0.3125,0.3
Steph Curry beats LeBron again -- this time for NBA's most popular jersey. The top sellers: http://t.co/6id86LXgYi http://t.co/ ,0.533333333,0.633333333
"Stephen Curry's game-worn Finals jersey was auctioned for $22,242. #Unbelievable #MVP http://t.co/kTp8aXRdnB",-0.25,1
Stephen Curry passes LeBron James for the most popular jersey in the NBA. #MVP http://t.co/hW9Gcq99jV,0.55,0.7
"After besting him in the Finals, Stephen Curry now trumps LeBron in jersey sales. http://t.co/YK9BuACvPF http://t.co/I2aCm5V ",0,0
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
Stephen Curry overtakes LeBron James for NBA's top jersey http://t.co/hI0dM4gCv2,0.5,0.5
Stephen Curry passes LeBron James for the most popular jersey in the NBA. #MVP http://t.co/hW9Gcq99jV,0.55,0.7
Me gust  un video de http://t.co/oy0NsQrso8 Basketball Training: Stephen Curry Circuit (Behind the Back Handles),-0.2,0.35
VIDEO: Stephen Curry gets up to throw down a 180 dunk at his SC30 Select Camp #AirSteph http://t.co/GKINEtfTze http://t ,-0.155555556,0.288888889
Stephen Curry so adorable just like his little girl.,0.15625,0.75
Stephen Curry overtakes LeBron James for NBA's top jersey http://t.co/beRQijxUaT #BlufftonNews,0.5,0.5
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
Me gust  un video de http://t.co/OIqBrC8hbx Under Armour Stephen Curry On Court Workouts Charged By Belief,0,0
Stephen Curry overtakes LeBron James for NBA's top jersey http://t.co/qPN2A5XXiS,0.5,0.5
Draymond Green asks Stephen Curry what gift Curry will give to his teammates after Curry won MVP. VIDEO: http://t.co/JknlABm ,-0.2,0.3
VIDEO: throws down a 180 dunk at his #SC30Select Camp http://t.co/qinOiOcVqm http://t.co/DdBEaxc4eT,-0.155555556,0.288888889
STEPHEN CURRY DANCING IS THE BEST THING EVER (Vine by celeb edits af),1,0.3
Is Steph Prepping for Dunk Contest? http://t.co/r4upidTxI7,0,0
Stephen Curry passes LeBron James for the most popular jersey in the NBA. #MVP http://t.co/hW9Gcq99jV,0.55,0.7
Steph Curry passes LeBron James for the most popular NBA jersey http://t.co/2Z0Ppolaom http://t.co/dSlMsg4K41,0.55,0.7
Stephen Curry passes LeBron James for the most popular jersey in the NBA. #MVP http://t.co/hW9Gcq99jV,0.55,0.7
Can we get this to trend so I can meet my dad (Stephen Curry) and my little sis Riley. http://t.co/d1TnBPKtuz,-0.1875,0.5
"Class of 2007, we need 30 more donors to reach our goal. 30. LIKE STEPHEN CURRY, y'all. Let's do it. #Give ",0.5,0.5
"Stephen Curry trusts us to help improve his game, why shouldn't you? #TrainLikeAnMVP http://t.co/lgBK4Z5mDs",-0.4,0.4
slick dance moves - Stephen Curry's Roarin'-Butt-Face-Jam via,-0.25,0.375
"Stephen Curry's game-worn Finals jersey was auctioned for $22,242. #Unbelievable #MVP http://t.co/kTp8aXRdnB",-0.25,1
VIDEO: Stephen Curry gets up to throw down a 180 dunk at his SC30 Select Camp #AirSteph http://t.co/GKINEtfTze http://t ,-0.155555556,0.288888889
Steph Curry beats LeBron again -- this time for NBA's most popular jersey. The top sellers: http://t.co/6id86LXgYi http://t.co/ ,0.533333333,0.633333333
Is Steph Prepping for Dunk Contest? http://t.co/Ox2yOiKhLB,0,0
NBA: Stephen Curry domine aussi LeBron James en boutique http://t.co/S8olxGmK3j,0,0
Stephen Curry passes LeBron James for the most popular jersey in the NBA. #MVP http://t.co/hW9Gcq99jV,0.55,0.7
Stephen Curry passes LeBron James for the most popular jersey in the NBA. #MVP http://t.co/hW9Gcq99jV,0.55,0.7
"''the love that I have for Stephen, grows everyday.'' - Ayesha Curry",0.15,0.6
I added a video to a playlist http://t.co/9HsFVFAigs Stephen Curry 2015 MVP - Bounce,0,0
Stephen Curry passes LeBron James for the most popular jersey in the NBA. #MVP http://t.co/hW9Gcq99jV,0.55,0.7
"Stephen Curry's game-worn Finals jersey was auctioned for $22,242. #Unbelievable #MVP http://t.co/kTp8aXRdnB",-0.25,1
Stephen Curry roi des maillots http://t.co/egzRcYwkA6,0,0
I liked a video http://t.co/g7Fw8AsyMP Sport Science: Stephen Curry,0.6,0.8
Chicago Tribune: Derrick Rose third in NBA jersey sales; Stephen Curry tops. http://t.co/Qswv6bCndL,0.3,0.475
"This little girl in Walmart keeps calling Stephen Curry, Stephen Cruz   ",-0.1875,0.5
H8 seeing all these cute videos of Stephen Curry bc it makes me sad that I don't have that        ,0,1
My young boys shootin Stephen curry no playoffs     ,0.1,0.4
Stephen Curry tops NBA jersey list for first time in career http://t.co/dR1xOaw2Zb,0.25,0.333333333
Top selling NBA jersey- http://t.co/0T3Vn5i6VA http://t.co/SuAYKClOaT,0.5,0.5
Stephen Curry passes LeBron James for the most popular jersey in the NBA. #MVP http://t.co/hW9Gcq99jV,0.55,0.7
Remeras mas vendidas de la NBA 1' Stephen Curry 2' LeBron James 3' Derrick Rose      4' Kyrie Irving,0.6,0.95
Keep that 30 on me like I'm Stephen Curry   ,0,0
Keep that 30 on me like I'm Stephen Curry   ,0,0
"Aint no thang, just Steph Curry (@StephenCurry30) throwing down a 360-degree dunk http://t.co/6sRW3jEYS0 http://t.co/9gBdf9taQw",-0.155555556,0.288888889
